batch_id,run_number,machine_type,boot_time_seconds,timestamp
batch-1770671706,1,e2-micro,46.70,2026-02-09T21:15:53Z
batch-1770671706,1,e2-medium,53.42,2026-02-09T21:17:53Z
batch-1770671706,1,n2-standard-2,45.51,2026-02-09T21:19:44Z
batch-1770671706,2,e2-micro,54.13,2026-02-09T21:21:44Z
batch-1770671706,2,e2-medium,52.18,2026-02-09T21:23:42Z
batch-1770671706,2,n2-standard-2,43.25,2026-02-09T21:25:32Z
batch-1770671706,3,e2-micro,58.47,2026-02-09T21:27:36Z
batch-1770671706,3,e2-medium,49.02,2026-02-09T21:29:29Z
batch-1770671706,3,n2-standard-2,49.31,2026-02-09T21:31:25Z
batch-1770671706,4,e2-micro,53.95,2026-02-09T21:33:25Z
batch-1770671706,4,e2-medium,55.71,2026-02-09T21:35:26Z
batch-1770671706,4,n2-standard-2,54.15,2026-02-09T21:37:26Z
batch-1770671706,5,e2-micro,48.77,2026-02-09T21:39:20Z
batch-1770671706,5,e2-medium,53.11,2026-02-09T21:41:20Z
batch-1770671706,5,n2-standard-2,53.03,2026-02-09T21:43:18Z
batch-1770681601,1,e2-micro,49.93,2026-02-10T00:00:51Z
batch-1770681601,1,e2-medium,69.72,2026-02-10T00:03:08Z
batch-1770681601,1,n2-standard-2,56.22,2026-02-10T00:05:20Z
batch-1770681601,2,e2-micro,53.16,2026-02-10T00:07:20Z
batch-1770681601,2,e2-medium,51.12,2026-02-10T00:09:18Z
batch-1770681601,2,n2-standard-2,59.56,2026-02-10T00:11:25Z
batch-1770681601,3,e2-micro,61.85,2026-02-10T00:13:34Z
batch-1770681601,3,e2-medium,82.96,2026-02-10T00:16:04Z
batch-1770681601,3,n2-standard-2,43.87,2026-02-10T00:17:55Z
batch-1770681601,4,e2-micro,59.01,2026-02-10T00:20:01Z
batch-1770681601,4,e2-medium,57.40,2026-02-10T00:21:35Z
batch-1770681601,4,n2-standard-2,58.27,2026-02-10T00:23:40Z
batch-1770681601,5,e2-micro,62.72,2026-02-10T00:25:48Z
batch-1770681601,5,e2-medium,59.65,2026-02-10T00:28:08Z
batch-1770681601,5,n2-standard-2,47.64,2026-02-10T00:30:00Z
batch-1770692401,1,e2-micro,54.03,2026-02-10T03:00:55Z
batch-1770692401,1,e2-medium,52.64,2026-02-10T03:02:55Z
batch-1770692401,1,n2-standard-2,46.20,2026-02-10T03:04:48Z
batch-1770692401,2,e2-micro,45.45,2026-02-10T03:06:40Z
batch-1770692401,2,e2-medium,51.01,2026-02-10T03:08:35Z
batch-1770692401,2,n2-standard-2,46.97,2026-02-10T03:10:26Z
batch-1770692401,3,e2-micro,55.10,2026-02-10T03:12:27Z
batch-1770692401,3,e2-medium,51.26,2026-02-10T03:14:27Z
batch-1770692401,3,n2-standard-2,47.64,2026-02-10T03:16:19Z
batch-1770692401,4,e2-micro,47.08,2026-02-10T03:18:08Z
batch-1770692401,4,e2-medium,47.64,2026-02-10T03:20:00Z
batch-1770692401,4,n2-standard-2,45.62,2026-02-10T03:21:52Z
batch-1770692401,5,e2-micro,48.65,2026-02-10T03:23:45Z
batch-1770692401,5,e2-medium,47.32,2026-02-10T03:25:47Z
batch-1770692401,5,n2-standard-2,43.40,2026-02-10T03:27:34Z
batch-1770703202,1,e2-micro,66.26,2026-02-10T06:01:08Z
batch-1770703202,1,e2-medium,56.31,2026-02-10T06:03:12Z
batch-1770703202,1,n2-standard-2,53.93,2026-02-10T06:05:10Z
batch-1770703202,2,e2-micro,51.71,2026-02-10T06:07:04Z
batch-1770703202,2,e2-medium,49.01,2026-02-10T06:08:59Z
batch-1770703202,2,n2-standard-2,56.43,2026-02-10T06:11:00Z
batch-1770703202,3,e2-micro,51.97,2026-02-10T06:12:56Z
batch-1770703202,3,e2-medium,48.78,2026-02-10T06:14:51Z
batch-1770703202,3,n2-standard-2,52.28,2026-02-10T06:16:48Z
batch-1770703202,4,e2-micro,44.06,2026-02-10T06:18:37Z
batch-1770703202,4,e2-medium,47.92,2026-02-10T06:20:30Z
batch-1770703202,4,n2-standard-2,42.41,2026-02-10T06:22:17Z
batch-1770703202,5,e2-micro,43.35,2026-02-10T06:24:15Z
batch-1770703202,5,e2-medium,50.96,2026-02-10T06:26:09Z
batch-1770703202,5,n2-standard-2,45.27,2026-02-10T06:27:59Z
batch-1770714001,1,e2-micro,55.40,2026-02-10T09:00:56Z
batch-1770714001,1,e2-medium,48.14,2026-02-10T09:02:52Z
batch-1770714001,1,n2-standard-2,44.34,2026-02-10T09:04:43Z
batch-1770714001,2,e2-micro,56.91,2026-02-10T09:06:46Z
batch-1770714001,2,e2-medium,50.74,2026-02-10T09:08:43Z
batch-1770714001,2,n2-standard-2,46.79,2026-02-10T09:10:36Z
batch-1770714001,3,e2-micro,100.28,2026-02-10T09:13:24Z
batch-1770714001,3,e2-medium,59.66,2026-02-10T09:15:45Z
batch-1770714001,3,n2-standard-2,58.49,2026-02-10T09:17:50Z
batch-1770714001,4,e2-micro,47.13,2026-02-10T09:19:43Z
batch-1770714001,4,e2-medium,59.62,2026-02-10T09:21:49Z
batch-1770714001,4,n2-standard-2,63.66,2026-02-10T09:23:59Z
batch-1770714001,5,e2-micro,47.03,2026-02-10T09:25:52Z
batch-1770714001,5,e2-medium,54.77,2026-02-10T09:27:52Z
batch-1770714001,5,n2-standard-2,60.83,2026-02-10T09:29:58Z
batch-1770724801,1,e2-micro,52.52,2026-02-10T12:00:54Z
batch-1770724801,1,e2-medium,45.35,2026-02-10T12:02:45Z
batch-1770724801,1,n2-standard-2,53.15,2026-02-10T12:04:45Z
batch-1770724801,2,e2-micro,56.10,2026-02-10T12:06:47Z
batch-1770724801,2,e2-medium,56.38,2026-02-10T12:08:51Z
batch-1770724801,2,n2-standard-2,45.68,2026-02-10T12:10:41Z
batch-1770724801,3,e2-micro,45.73,2026-02-10T12:12:32Z
batch-1770724801,3,e2-medium,52.73,2026-02-10T12:14:30Z
batch-1770724801,3,n2-standard-2,43.95,2026-02-10T12:16:20Z
batch-1770724801,4,e2-micro,46.06,2026-02-10T12:18:12Z
batch-1770724801,4,e2-medium,55.57,2026-02-10T12:20:24Z
batch-1770724801,4,n2-standard-2,43.75,2026-02-10T12:22:14Z
batch-1770724801,5,e2-micro,71.35,2026-02-10T12:24:32Z
batch-1770724801,5,e2-medium,53.31,2026-02-10T12:26:32Z
batch-1770724801,5,n2-standard-2,59.37,2026-02-10T12:28:37Z
batch-1770735601,1,e2-micro,59.68,2026-02-10T15:01:00Z
batch-1770735601,1,e2-medium,59.70,2026-02-10T15:03:08Z
batch-1770735601,1,n2-standard-2,51.74,2026-02-10T15:05:07Z
batch-1770735601,2,e2-micro,53.45,2026-02-10T15:07:07Z
batch-1770735601,2,e2-medium,66.22,2026-02-10T15:09:19Z
batch-1770735601,2,n2-standard-2,43.06,2026-02-10T15:11:08Z
batch-1770735601,3,e2-micro,52.95,2026-02-10T15:13:08Z
batch-1770735601,3,e2-medium,55.78,2026-02-10T15:15:10Z
batch-1770735601,3,n2-standard-2,54.83,2026-02-10T15:17:11Z
batch-1770735601,4,e2-micro,47.95,2026-02-10T15:19:06Z
batch-1770735601,4,e2-medium,44.31,2026-02-10T15:21:02Z
batch-1770735601,4,n2-standard-2,60.27,2026-02-10T15:23:09Z
batch-1770735601,5,e2-micro,49.39,2026-02-10T15:25:05Z
batch-1770735601,5,e2-medium,49.84,2026-02-10T15:27:01Z
batch-1770735601,5,n2-standard-2,53.52,2026-02-10T15:29:00Z
batch-1770746402,1,e2-micro,58.39,2026-02-10T18:01:00Z
batch-1770746402,1,e2-medium,49.81,2026-02-10T18:02:57Z
batch-1770746402,1,n2-standard-2,44.97,2026-02-10T18:04:49Z
batch-1770746402,2,e2-micro,48.19,2026-02-10T18:06:44Z
batch-1770746402,2,e2-medium,50.97,2026-02-10T18:08:41Z
batch-1770746402,2,n2-standard-2,43.26,2026-02-10T18:10:30Z
batch-1770746402,3,e2-micro,49.94,2026-02-10T18:12:26Z
batch-1770746402,3,e2-medium,49.11,2026-02-10T18:14:19Z
batch-1770746402,3,n2-standard-2,55.23,2026-02-10T18:16:21Z
batch-1770746402,4,e2-micro,49.66,2026-02-10T18:18:17Z
batch-1770746402,4,e2-medium,51.24,2026-02-10T18:20:14Z
batch-1770746402,4,n2-standard-2,48.39,2026-02-10T18:22:19Z
batch-1770746402,5,e2-micro,52.58,2026-02-10T18:24:18Z
batch-1770746402,5,e2-medium,50.74,2026-02-10T18:26:16Z
batch-1770746402,5,n2-standard-2,48.45,2026-02-10T18:28:11Z
batch-1770757202,1,e2-micro,75.26,2026-02-10T21:01:17Z
batch-1770757202,1,e2-medium,60.18,2026-02-10T21:03:24Z
batch-1770757202,1,n2-standard-2,47.64,2026-02-10T21:05:18Z
batch-1770757202,2,e2-micro,48.14,2026-02-10T21:07:12Z
batch-1770757202,2,e2-medium,52.54,2026-02-10T21:09:11Z
batch-1770757202,2,n2-standard-2,46.44,2026-02-10T21:11:04Z
batch-1770757202,3,e2-micro,51.05,2026-02-10T21:13:01Z
batch-1770757202,3,e2-medium,57.34,2026-02-10T21:15:05Z
batch-1770757202,3,n2-standard-2,42.37,2026-02-10T21:16:55Z
batch-1770757202,4,e2-micro,52.60,2026-02-10T21:18:54Z
batch-1770757202,4,e2-medium,60.74,2026-02-10T21:21:03Z
batch-1770757202,4,n2-standard-2,81.58,2026-02-10T21:23:31Z
batch-1770757202,5,e2-micro,65.18,2026-02-10T21:25:41Z
batch-1770757202,5,e2-medium,53.14,2026-02-10T21:27:31Z
batch-1770757202,5,n2-standard-2,49.47,2026-02-10T21:29:27Z
batch-1770768001,1,e2-micro,57.41,2026-02-11T00:00:58Z
batch-1770768001,1,e2-medium,59.26,2026-02-11T00:03:04Z
batch-1770768001,1,n2-standard-2,48.34,2026-02-11T00:05:00Z
batch-1770768001,2,e2-micro,83.74,2026-02-11T00:07:30Z
batch-1770768001,2,e2-medium,66.12,2026-02-11T00:09:42Z
batch-1770768001,2,n2-standard-2,43.04,2026-02-11T00:11:32Z
batch-1770768001,3,e2-micro,56.40,2026-02-11T00:13:36Z
batch-1770768001,3,e2-medium,53.19,2026-02-11T00:15:34Z
batch-1770768001,3,n2-standard-2,42.34,2026-02-11T00:17:22Z
batch-1770768001,4,e2-micro,54.35,2026-02-11T00:19:21Z
batch-1770768001,4,e2-medium,57.80,2026-02-11T00:21:23Z
batch-1770768001,4,n2-standard-2,55.25,2026-02-11T00:23:34Z
batch-1770768001,5,e2-micro,54.10,2026-02-11T00:25:32Z
batch-1770768001,5,e2-medium,55.81,2026-02-11T00:27:39Z
batch-1770768001,5,n2-standard-2,43.77,2026-02-11T00:29:26Z
batch-1770778801,1,e2-micro,55.92,2026-02-11T03:00:57Z
batch-1770778801,1,e2-medium,49.74,2026-02-11T03:02:54Z
batch-1770778801,1,n2-standard-2,48.41,2026-02-11T03:04:47Z
batch-1770778801,2,e2-micro,64.43,2026-02-11T03:07:06Z
batch-1770778801,2,e2-medium,50.89,2026-02-11T03:09:13Z
batch-1770778801,2,n2-standard-2,45.26,2026-02-11T03:11:02Z
batch-1770778801,3,e2-micro,49.90,2026-02-11T03:12:56Z
batch-1770778801,3,e2-medium,44.79,2026-02-11T03:14:41Z
batch-1770778801,3,n2-standard-2,49.66,2026-02-11T03:16:27Z
batch-1770778801,4,e2-micro,45.42,2026-02-11T03:18:13Z
batch-1770778801,4,e2-medium,47.80,2026-02-11T03:20:06Z
batch-1770778801,4,n2-standard-2,49.54,2026-02-11T03:22:03Z
batch-1770778801,5,e2-micro,47.04,2026-02-11T03:23:53Z
batch-1770778801,5,e2-medium,50.71,2026-02-11T03:25:48Z
batch-1770778801,5,n2-standard-2,40.14,2026-02-11T03:27:24Z
batch-1770789601,1,e2-micro,48.62,2026-02-11T06:00:50Z
batch-1770789601,1,e2-medium,88.93,2026-02-11T06:03:31Z
batch-1770789601,1,n2-standard-2,45.33,2026-02-11T06:05:22Z
batch-1770789601,2,e2-micro,59.60,2026-02-11T06:07:26Z
batch-1770789601,2,e2-medium,51.66,2026-02-11T06:09:22Z
batch-1770789601,2,n2-standard-2,46.92,2026-02-11T06:11:14Z
batch-1770789601,3,e2-micro,55.33,2026-02-11T06:13:13Z
batch-1770789601,3,e2-medium,46.82,2026-02-11T06:15:05Z
batch-1770789601,3,n2-standard-2,103.98,2026-02-11T06:17:52Z
batch-1770789601,4,e2-micro,43.56,2026-02-11T06:19:41Z
batch-1770789601,4,e2-medium,51.34,2026-02-11T06:21:37Z
batch-1770789601,4,n2-standard-2,48.20,2026-02-11T06:23:30Z
batch-1770789601,5,e2-micro,48.44,2026-02-11T06:25:22Z
batch-1770789601,5,e2-medium,46.79,2026-02-11T06:27:14Z
batch-1770789601,5,n2-standard-2,45.03,2026-02-11T06:28:55Z
